,Facility_ID,Facility_Name,City_Town,State,ZIP_Code,Hospital_Type,Hospital_Overall_Rating,Outcomes,Value_Quadrant,Size_Indicator_Medium,Size_Indicator_Small,Hospital_Ownership_Government_Hospital_District_or_Authority,Hospital_Ownership_Government_Local,Hospital_Ownership_Government_State,Hospital_Ownership_Physician,Hospital_Ownership_Proprietary,Hospital_Ownership_Voluntary_non_profit_Church,Hospital_Ownership_Voluntary_non_profit_Other,Hospital_Ownership_Voluntary_non_profit_Private,Census_Division_East_South_Central,Census_Division_Middle_Atlantic,Census_Division_Mountain,Census_Division_New_England,Census_Division_Pacific,Census_Division_South_Atlantic,Census_Division_West_North_Central,Census_Division_West_South_Central,Emergency_Services_Yes,Per_Episode_Cost,Cleanliness,Nurse_Communication,Doctor_Communication,Communication_About_Medicines,Discharge_Information,Quietness,Would_Recommend,Sepsis_Appropriate_Care,ED_Wait_Time,Left_ED_Not_Seen
0,10001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,Acute Care Hospitals,4.0,0.2342774946286301,"high outcome , high cost",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.22988362362958328,-0.0966959200870529,-0.16127684404460868,1.238277887850684,0.8833593540405618,0.9295165714765345,1.0916827193479037,1.4818027110391188,-0.14144352308363126,-0.5620713166804239,0.12266341956759515
1,10005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,Acute Care Hospitals,3.0,0.0194668448086886,"low outcome , low cost",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.6681234713677284,-0.0966959200870529,-0.16127684404460868,1.238277887850684,-0.4368134718943282,-0.17026034685332095,1.0916827193479037,-0.3199568732773633,-0.5359669496929624,0.9450887808452323,0.10748445946593095
2,10006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,Acute Care Hospitals,2.0,-0.3872316791924258,"low outcome , low cost",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.1085833144359887,-1.1338158815788832,-1.194344628397019,-0.9986737842086009,-1.7569862978292181,-1.2700372651831764,1.0916827193479037,-1.2208366654356042,-0.10485004583291055,0.7540403177785998,0.46522411230800603
3,10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,Acute Care Hospitals,1.0,-1.4609087624645196,"low outcome , low cost",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1.575456235647236,-1.1338158815788832,-0.16127684404460868,1.238277887850684,0.8833593540405618,0.9295165714765345,2.118363123432841,-0.3199568732773633,0.5410820049505118,1.28473049296369,-0.4186728321833718
5,10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,Acute Care Hospitals,3.0,-1.0917086156149816,"low outcome , low cost",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.7073461392310808,-1.1338158815788832,0.8717909403078016,1.238277887850684,0.8833593540405618,-0.17026034685332095,1.0916827193479037,-0.3199568732773633,0.29596051872130724,0.5417642477045638,-0.5126047491154241
6,10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,Acute Care Hospitals,2.0,-0.4352220072103216,"low outcome , high cost",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.201673219712502,-1.1338158815788832,-1.194344628397019,0.11980205182104157,-0.4368134718943282,-0.17026034685332095,0.06500231526296664,-1.2208366654356042,0.3395932549321748,-0.1799743905471589,-0.07026525507772392
7,10019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,Acute Care Hospitals,2.0,-0.7342178957208675,"low outcome , low cost",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.6412436010837527,0.9404240414047774,0.8717909403078016,0.11980205182104157,0.8833593540405618,-0.17026034685332095,1.0916827193479037,1.4818027110391188,-0.8145266657889727,-0.05260874850273727,-0.3730894795477333
9,10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,Acute Care Hospitals,1.0,-0.6556980590712141,"low outcome , high cost",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.762818194668,-0.0966959200870529,-0.16127684404460868,0.11980205182104157,0.8833593540405618,-0.17026034685332095,1.0916827193479037,0.5809229188808778,-0.31561830994226936,-0.5832989236878274,0.28223893452338705
10,10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,Acute Care Hospitals,2.0,-0.5115742124151056,"low outcome , low cost",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.26931396735853746,-1.1338158815788832,-0.16127684404460868,0.11980205182104157,-0.4368134718943282,-0.17026034685332095,1.0916827193479037,-0.3199568732773633,-0.5621436375831246,0.7752679247860034,0.500657455062848
11,10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,36801,Acute Care Hospitals,3.0,-0.3858550898754594,"low outcome , low cost",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.7227060651076384,-0.0966959200870529,-0.16127684404460868,1.238277887850684,0.8833593540405618,-0.17026034685332095,1.0916827193479037,0.5809229188808778,-0.6780407307926215,-0.0950639625175445,-0.41226685781199807
