Facility_ID,Facility_Name,City_Town,State,ZIP_Code,Census_Division,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_Overall_Rating,Size_Indicator,Outcomes,Per_Episode_Cost,Value_Quadrant
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Large,0.23427749462863015,26979.0,"high outcome , high cost"
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Large,0.019466844808688617,23705.0,"low outcome , low cost"
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,-0.3872316791924258,25745.0,"low outcome , low cost"
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Large,-1.4609087624645196,20397.0,"low outcome , low cost"
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Large,-0.20779893646609696,23870.0,"low outcome , low cost"
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,East South Central,Acute Care Hospitals,Proprietary,Yes,3.0,Large,-1.0917086156149816,23562.0,"low outcome , low cost"
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Large,-0.43522200721032167,30522.0,"low outcome , high cost"
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Large,-0.7342178957208675,23803.0,"low outcome , low cost"
010021,DALE MEDICAL CENTER,OZARK,AL,36360,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Medium,-0.011685575474811222,20417.0,"low outcome , low cost"
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0,Large,-0.6556980590712141,28922.0,"low outcome , high cost"
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Large,-0.5115742124151056,25159.0,"low outcome , low cost"
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,36801,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Large,-0.3858550898754594,23506.0,"low outcome , low cost"
010033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,35233,East South Central,Acute Care Hospitals,Government - State,Yes,3.0,Large,-0.5088635091366055,30945.0,"low outcome , high cost"
010035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,35058,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Large,-0.3671914189021909,22175.0,"low outcome , low cost"
010036,ANDALUSIA HEALTH,ANDALUSIA,AL,36420,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,0.07435652379254844,21002.0,"high outcome , low cost"
010039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Large,-0.202292272234041,28934.0,"low outcome , high cost"
010040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,35903,East South Central,Acute Care Hospitals,Proprietary,Yes,1.0,Large,-0.23383614529372906,26483.0,"low outcome , high cost"
010045,FAYETTE MEDICAL CENTER,FAYETTE,AL,35555,East South Central,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Medium,0.3030173253601448,18252.0,"high outcome , low cost"
010046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,35901,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,-0.168372551610145,24870.0,"low outcome , low cost"
010049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,36330,East South Central,Acute Care Hospitals,Proprietary,Yes,3.0,Large,-0.010445445809016629,20832.0,"low outcome , low cost"
010055,FLOWERS HOSPITAL,DOTHAN,AL,36302,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,-0.26756148210995395,27535.0,"low outcome , high cost"
010056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,35205,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Large,0.19372047983950705,25620.0,"high outcome , low cost"
010061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Large,0.14083411709820395,20391.0,"high outcome , low cost"
010065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL,35010,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Large,-0.020934554571690373,20860.0,"low outcome , low cost"
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,AL,36207,East South Central,Acute Care Hospitals,Government - Local,Yes,1.0,Large,-0.4613473494921745,25787.0,"low outcome , low cost"
010079,ATHENS LIMESTONE HOSPITAL,ATHENS,AL,35611,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Large,-0.42357652297760673,25783.0,"low outcome , low cost"
010083,BALDWIN HEALTH,FOLEY,AL,36535,East South Central,Acute Care Hospitals,Proprietary,Yes,4.0,Large,0.0766313221447049,22937.0,"high outcome , low cost"
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,DECATUR,AL,35601,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Large,0.15492447212511465,26157.0,"high outcome , high cost"
010086,NORTHWEST MEDICAL CENTER,WINFIELD,AL,35594,East South Central,Acute Care Hospitals,Proprietary,Yes,4.0,Medium,1.1082280431372917,21071.0,"high outcome , low cost"
010087,USA HEALTH UNIVERSITY HOSPITAL,MOBILE,AL,36617,East South Central,Acute Care Hospitals,Government - State,Yes,2.0,Large,-0.5928782055510706,29672.0,"low outcome , high cost"
010089,WALKER BAPTIST MEDICAL CENTER,JASPER,AL,35502,East South Central,Acute Care Hospitals,Proprietary,Yes,3.0,Large,0.039382686959634566,25498.0,"low outcome , low cost"
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",MOBILE,AL,36608,East South Central,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Large,0.15169494365686162,24342.0,"high outcome , low cost"
010092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL,35401,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0,Large,-0.658418730603721,25856.0,"low outcome , low cost"
010100,THOMAS HOSPITAL,FAIRHOPE,AL,36532,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Large,-0.6869820883825447,23417.0,"low outcome , low cost"
010103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,AL,35211,East South Central,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Large,0.15846461367133013,30329.0,"high outcome , high cost"
010104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,35243,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,-0.09001351799170543,27685.0,"low outcome , high cost"
010108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL,36067,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Large,-0.14399072366461255,20280.0,"low outcome , low cost"
010113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,36607,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Large,-0.5760922720966489,27114.0,"low outcome , high cost"
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,35022,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Large,0.1694154894595495,24072.0,"high outcome , low cost"
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,36701,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,0.1058399538957893,23485.0,"high outcome , low cost"
010125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,35565,East South Central,Acute Care Hospitals,Proprietary,Yes,4.0,Medium,0.32974208554825046,20084.0,"high outcome , low cost"
010130,ST VINCENT'S ST CLAIR,PELL CITY,AL,35125,East South Central,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Medium,-0.4146404193595647,19172.0,"low outcome , low cost"
010131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,35801,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,0.09398151479795201,24513.0,"high outcome , low cost"
010139,BROOKWOOD BAPTIST MEDICAL CENTER,VESTAVIA,AL,35216,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,0.23685238928425542,31108.0,"high outcome , high cost"
010144,SPRINGHILL MEDICAL CENTER,MOBILE,AL,36608,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Large,-0.26969061594352955,26859.0,"low outcome , high cost"
010148,EVERGREEN MEDICAL CENTER,EVERGREEN,AL,36401,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Medium,0.06964129702820893,14888.0,"high outcome , low cost"
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL,36117,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Large,0.05900898622343886,21921.0,"high outcome , low cost"
010158,RUSSELLVILLE HOSPITAL,RUSSELLVILLE,AL,35653,East South Central,Acute Care Hospitals,Proprietary,Yes,2.0,Medium,-0.44960789073026486,25595.0,"low outcome , low cost"
010164,COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,35150,East South Central,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Large,-0.48529908995512594,18645.0,"low outcome , low cost"
020001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99508,Pacific,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Large,-0.3688386235804044,28095.0,"low outcome , high cost"
020006,MAT-SU REGIONAL MEDICAL CENTER,PALMER,AK,99645,Pacific,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Large,-0.41521491527522114,21520.0,"low outcome , low cost"
020008,BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,99801,Pacific,Acute Care Hospitals,Government - Local,Yes,5.0,Large,0.2599381630468384,18210.0,"high outcome , low cost"
020012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,AK,99701,Pacific,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Large,-0.7795803499885418,18488.0,"low outcome , low cost"
020017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,Pacific,Acute Care Hospitals,Proprietary,Yes,2.0,Large,-0.6431522840123683,25381.0,"low outcome , low cost"
020024,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,99669,Pacific,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.0,Large,-1.295791443029511,20398.0,"low outcome , low cost"
020026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,AK,99508,Pacific,Acute Care Hospitals,Government - Federal,Yes,3.0,Large,-0.506760340684557,22667.0,"low outcome , low cost"
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,85006,Mountain,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Large,0.06155838000816238,33991.0,"high outcome , high cost"
030006,TUCSON MEDICAL CENTER,TUCSON,AZ,85712,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Large,-0.35506019742705264,28188.0,"low outcome , high cost"
030007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,86326,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Large,0.34703634961143465,23442.0,"high outcome , low cost"
030010,ST. MARY'S HOSPITAL,TUCSON,AZ,85745,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Large,-0.27102174025898745,25748.0,"low outcome , low cost"
030011,ST JOSEPH'S HOSPITAL,TUCSON,AZ,85711,Mountain,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Large,0.30588094724413534,32149.0,"high outcome , high cost"
030012,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,86301,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Large,-0.2535577797117489,23482.0,"low outcome , low cost"
030013,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,85364,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Large,-0.6029789701347782,26310.0,"low outcome , high cost"
030014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,PHOENIX,AZ,85020,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Large,0.10464679808877868,27458.0,"high outcome , high cost"
030016,BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,AZ,85122,Mountain,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Large,-0.29225580813539714,22416.0,"low outcome , low cost"
030022,VALLEYWISE HEALTH MEDICAL CENTER,PHOENIX,AZ,85008,Mountain,Acute Care Hospitals,Government - Local,No,3.0,Large,-1.134482613979621,30871.0,"low outcome , high cost"
030023,FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,86001,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Large,0.29389048749516317,30377.0,"high outcome , high cost"
030024,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,PHOENIX,AZ,85013,Mountain,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Large,0.4882154026486753,33910.0,"high outcome , high cost"
030030,ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,85015,Mountain,Acute Care Hospitals,Physician,Yes,2.0,Large,0.5838881738064277,27085.0,"high outcome , high cost"
030036,CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,85224,Mountain,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Large,0.16434253983620703,28932.0,"high outcome , high cost"
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,SCOTTSDALE,AZ,85251,Mountain,Acute Care Hospitals,Proprietary,Yes,3.0,Large,-0.1127544179099572,27941.0,"low outcome , high cost"
030043,CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,85635,Mountain,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Large,-0.2415096636525084,24435.0,"low outcome , low cost"
